,greeting,name,yesAccount,noAccount,accountNumberEntered,yesPortfolioOptimize,noPortfolioOptimize,yesInvestment,noInvestment,charityInvestment,educationInvestment,retirementInvestment,personalInvestment,foreignExchangeInvestment,bondsInvestment,mutualFundsInvestment,stocksInvestment,yesStockInvestment,noStockInvestment,exit
Sensitivity/Recall/TPR,1,1,1,1,0.166666667,1,0.944444444,1,0,0.666666667,0,0.714285714,0.4,1,1,0.25,0.8,0.222222222,0.6,1
Specificity/TNR,0.985815603,1,1,1,1,1,0.88372093,1,1,1,1,1,1,1,1,1,1,0.985507246,1,0.864864865
Precision/PPV,0.75,1,1,1,1,1,0.53125,1,,1,,1,1,1,1,1,1,0.5,1,0.705882353
NegativePredictiveValue,1,1,1,1,0.965753425,1,0.991304348,1,0.965986395,0.986013986,0.979591837,0.985915493,0.979310345,1,1,0.979452055,0.993006993,0.951048951,0.986111111,1
FallOut/FPR,0.014184397,0,0,0,0,0,0.11627907,0,0,0,0,0,0,0,0,0,0,0.014492754,0,0.135135135
FalseNegativeRate,0,0,0,0,0.833333333,0,0.055555556,0,1,0.333333333,1,0.285714286,0.6,0,0,0.75,0.2,0.777777778,0.4,0
FalseDiscoveryRate,0.25,0,0,0,0,0,0.46875,0,,0,,0,0,0,0,0,0,0.5,0,0.294117647
Accuracy,0.986394558,1,1,1,0.965986395,1,0.891156463,1,0.965986395,0.986394558,0.979591837,0.986394558,0.979591837,1,1,0.979591837,0.993197279,0.93877551,0.986394558,0.897959184
