,greeting,name,yesAccount,noAccount,accountNumberEntered,yesPortfolioOptimize,noPortfolioOptimize,yesInvestment,noInvestment,charityInvestment,educationInvestment,retirementInvestment,personalInvestment,foreignExchangeInvestment,bondsInvestment,mutualFundsInvestment,stocksInvestment,yesStockInvestment,noStockInvestment,exit
Sensitivity/Recall/TPR,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.7777777777777778,1.0,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222
Specificity/TNR,0.9929078014184397,1.0,1.0,1.0,1.0,1.0,0.9922480620155039,1.0,0.971830985915493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,0.990990990990991
Precision/PPV,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9722222222222222
NegativePredictiveValue,1.0,1.0,1.0,1.0,0.9929577464788732,1.0,0.9696969696969697,1.0,1.0,0.9929577464788732,0.993103448275862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990990990990991
FallOut/FPR,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.009009009009009009
FalseNegativeRate,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2222222222222222,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776
FalseDiscoveryRate,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.027777777777777776
Accuracy,0.9931972789115646,1.0,1.0,1.0,0.9931972789115646,1.0,0.9659863945578231,1.0,0.9727891156462585,0.9931972789115646,0.9931972789115646,1.0,1.0,1.0,1.0,1.0,1.0,0.9931972789115646,1.0,0.9863945578231292
