,greeting,name,yesAccount,noAccount,accountNumberEntered,yesPortfolioOptimize,noPortfolioOptimize,yesInvestment,noInvestment,charityInvestment,educationInvestment,retirementInvestment,personalInvestment,foreignExchangeInvestment,bondsInvestment,mutualFundsInvestment,stocksInvestment,yesStockInvestment,noStockInvestment,exit
Sensitivity/Recall/TPR,1.0,0.75,0.75,1.0,0.16666666666666666,1.0,0.9444444444444444,1.0,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8,0.75,0.75,1.0,1.0,0.7777777777777778,1.0,1.0
Specificity/TNR,0.9929078014184397,1.0,1.0,1.0,1.0,1.0,0.8527131782945736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,0.990990990990991
Precision/PPV,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.4722222222222222,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.972972972972973
NegativePredictiveValue,1.0,0.9930555555555556,0.9930555555555556,1.0,0.9657534246575342,1.0,0.990990990990991,1.0,0.9659863945578231,0.9929577464788732,0.993103448275862,0.9859154929577465,0.993006993006993,0.9930555555555556,0.9930555555555556,1.0,1.0,0.9856115107913669,1.0,1.0
FallOut/FPR,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.14728682170542637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.009009009009009009
FalseNegativeRate,0.0,0.25,0.25,0.0,0.8333333333333334,0.0,0.05555555555555555,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.2,0.25,0.25,0.0,0.0,0.2222222222222222,0.0,0.0
FalseDiscoveryRate,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.02702702702702703
Accuracy,0.9931972789115646,0.9931972789115646,0.9931972789115646,1.0,0.9659863945578231,1.0,0.8639455782312925,1.0,0.9659863945578231,0.9931972789115646,0.9931972789115646,0.9863945578231292,0.9931972789115646,0.9931972789115646,0.9931972789115646,1.0,1.0,0.9795918367346939,1.0,0.9931972789115646
